"player_id","FirstName","Surname","PositionsList","Team","Cost","TotalPoints"
"Abraham_Tammy_FWD","Tammy","Abraham","FWD","SWA",5400000,86
"Adam Smith_NAMELESS_DEF","NAMELESS","Adam Smith","DEF","BOU",4800000,56
"Aguero_Sergio_FWD","Sergio","Aguero","FWD","MCI",11500000,169
"Ake_Nathan_DEF","Nathan","Ake","DEF","BOU",5e+06,102
"Albrighton_Marc_MID","Marc","Albrighton","MID","LEI",5500000,107
"Allen_Joe_MID","Joe","Allen","MID","STK",5100000,109
"Alli_Bamidele_MID","Bamidele","Alli","MID","TOT",9e+06,175
"Alonso_Marcos_DEF","Marcos","Alonso","DEF","CHE",7100000,165
"Andre Ayew_NAMELESS_MID","NAMELESS","Andre Ayew","MID","SWA",6800000,77
"Arnautovic_Marko_MID","Marko","Arnautovic","MID","WHU",7100000,144
"Atsu_Christian_MID","Christian","Atsu","MID","NEW",4800000,78
"Azpilicueta_Cesar_DEF","Cesar","Azpilicueta","DEF","CHE",6900000,175
"Baines_Leighton_DEF","Leighton","Baines","DEF","EVE",5700000,82
"Bakayoko_Tiemoue_MID","Tiemoue","Bakayoko","MID","CHE",4900000,77
"Barnes_Ashley_FWD","Ashley","Barnes","FWD","BUR",5300000,92
"Barry_Gareth_MID","Gareth","Barry","MID","WBA",4400000,56
"Bellerin_Hector_DEF","Hector","Bellerin","DEF","ARS",5900000,132
"Benteke_Christian_FWD","Christian","Benteke","FWD","CRY",7500000,84
"Bertrand_Ryan_DEF","Ryan","Bertrand","DEF","SOU",5300000,103
"Bong_Gaetan_DEF","Gaetan","Bong","DEF","BHA",4400000,63
"Bruno_NAMELESS_DEF","NAMELESS","Bruno","DEF","BHA",4500000,84
"Brunt_Chris_MID","Chris","Brunt","MID","WBA",5e+06,81
"Cabaye_Yohan_MID","Yohan","Cabaye","MID","CRY",5300000,73
"Cahill_Gary_DEF","Gary","Cahill","DEF","CHE",6200000,74
"Calvert-Lewin_Dominic_FWD","Dominic","Calvert-Lewin","FWD","EVE",4900000,88
"Can_Emre_MID","Emre","Can","MID","LIV",4900000,92
"Carroll_Tom_MID","Tom","Carroll","MID","SWA",4300000,85
"Cedric_NAMELESS_DEF","NAMELESS","Cedric","DEF","SOU",4700000,85
"Chamberlain_NAMELESS_MID","NAMELESS","Chamberlain","MID","LIV",5500000,94
"Chilwell_Benjamin_DEF","Benjamin","Chilwell","DEF","LEI",4400000,65
"Choupo-Moting_Eric Maxim_MID","Eric Maxim","Choupo-Moting","MID","STK",5200000,107
"Christensen_Andreas_DEF","Andreas","Christensen","DEF","CHE",5300000,79
"Clark_Ciaran_DEF","Ciaran","Clark","DEF","NEW",4300000,64
"Cleverley_Tom_MID","Tom","Cleverley","MID","WAT",5e+06,58
"Clucas_Sam_MID","Sam","Clucas","MID","SWA",4700000,75
"Cork_Jack_MID","Jack","Cork","MID","BUR",4500000,100
"Cresswell_Aaron_DEF","Aaron","Cresswell","DEF","WHU",4900000,118
"Daniels_Charlie_DEF","Charlie","Daniels","DEF","BOU",4700000,94
"David Silva_NAMELESS_MID","NAMELESS","David Silva","MID","MCI",8200000,169
"Davies_Ben_DEF_TOT","Ben","Davies","DEF","TOT",5800000,143
"Davies_Tom_MID","Tom","Davies","MID","EVE",5100000,66
"Dawson_Craig_DEF","Craig","Dawson","DEF","WBA",4800000,87
"De Bruyne_Kevin_MID","Kevin","De Bruyne","MID","MCI",10300000,209
"Deeney_Troy_FWD","Troy","Deeney","FWD","WAT",6300000,73
"Defour_Steven_MID","Steven","Defour","MID","BUR",5400000,62
"Delph_Fabian_MID","Fabian","Delph","MID","MCI",4500000,55
"Dembele_Mousa_MID","Mousa","Dembele","MID","TOT",4900000,52
"Depoitre_Laurent_FWD","Laurent","Depoitre","FWD","HUD",5e+06,94
"Diame_Mohamed_MID","Mohamed","Diame","MID","NEW",4600000,70
"Dier_Eric_MID","Eric","Dier","MID","TOT",4700000,85
"Diouf_Mame Biram_FWD","Mame Biram","Diouf","FWD","STK",5200000,99
"Doucoure_Abdoulaye_MID","Abdoulaye","Doucoure","MID","WAT",5200000,136
"Duffy_Shane_DEF","Shane","Duffy","DEF","BHA",4600000,100
"Dunk_Lewis_DEF","Lewis","Dunk","DEF","BHA",4500000,97
"Eriksen_Christian_MID","Christian","Eriksen","MID","TOT",9700000,199
"Evans_Jonny_DEF","Jonny","Evans","DEF","WBA",4900000,78
"Fabregas_Cesc_MID","Cesc","Fabregas","MID","CHE",6800000,89
"Fernandez_Federico_DEF","Federico","Fernandez","DEF","SWA",4500000,85
"Fernandinho_NAMELESS_MID","NAMELESS","Fernandinho","MID","MCI",5e+06,120
"Firmino_Roberto_FWD","Roberto","Firmino","FWD","LIV",9500000,181
"Fletcher_Darren_MID","Darren","Fletcher","MID","STK",4700000,67
"Francis_Simon_DEF","Simon","Francis","DEF","BOU",4300000,56
"Fraser_Ryan_MID","Ryan","Fraser","MID","BOU",5100000,97
"Fuchs_Christian_DEF","Christian","Fuchs","DEF","LEI",4700000,57
"Gayle_Dwight_FWD","Dwight","Gayle","FWD","NEW",6100000,94
"Gibbs_Kieran_DEF","Kieran","Gibbs","DEF","WBA",5e+06,86
"Gomez_Joseph_DEF","Joseph","Gomez","DEF","LIV",4500000,86
"Gosling_Dan_MID","Dan","Gosling","MID","BOU",4800000,59
"Gray_Demarai_MID","Demarai","Gray","MID","LEI",5300000,80
"Gro?_Pascal_MID","Pascal","Gro?","MID","BHA",5900000,164
"Gudmundsson_Johann Berg_MID","Johann Berg","Gudmundsson","MID","BUR",5e+06,117
"Gueye_Idrissa_MID","Idrissa","Gueye","MID","EVE",4800000,87
"Hadergjonaj_Florent_DEF","Florent","Hadergjonaj","DEF","HUD",4500000,51
"Hazard_Eden_MID","Eden","Hazard","MID","CHE",10500000,173
"Hegazi_Ahmed El-Sayed_DEF","Ahmed El-Sayed","Hegazi","DEF","WBA",4600000,114
"Henderson_Jordan_MID","Jordan","Henderson","MID","LIV",5300000,75
"Hendrick_Jeff_MID","Jeff","Hendrick","MID","BUR",5400000,85
"Hoedt_Wesley_DEF","Wesley","Hoedt","DEF","SOU",5e+06,74
"Hogg_Jonathan_MID","Jonathan","Hogg","MID","HUD",4400000,53
"H?jbjerg_Pierre-Emile_MID","Pierre-Emile","H?jbjerg","MID","SOU",4300000,39
"Holebas_Jose_DEF","Jose","Holebas","DEF","WAT",4800000,72
"Ibe_Jordon_MID","Jordon","Ibe","MID","BOU",4600000,85
"Ince_Tom_MID","Tom","Ince","MID","HUD",5500000,82
"Iwobi_Alex_MID","Alex","Iwobi","MID","ARS",5100000,89
"Izquierdo_NAMELESS_MID","NAMELESS","Izquierdo","MID","BHA",5900000,101
"Jagielka_Phil_DEF","Phil","Jagielka","DEF","EVE",4700000,60
"Janmaat_Daryl_DEF","Daryl","Janmaat","DEF","WAT",4800000,59
"Jones_Phil_DEF","Phil","Jones","DEF","MUN",5500000,116
"Jordan Ayew_NAMELESS_FWD","NAMELESS","Jordan Ayew","FWD","SWA",5400000,108
"Joselu_NAMELESS_FWD","NAMELESS","Joselu","FWD","NEW",5500000,69
"Kabasele_Christian_DEF","Christian","Kabasele","DEF","WAT",4400000,68
"Kane_Harry_FWD","Harry","Kane","FWD","TOT",13100000,217
"Kante_N'Golo_MID","N'Golo","Kante","MID","CHE",4900000,101
"Keane_Michael_DEF","Michael","Keane","DEF","EVE",5300000,81
"Ki Sung-yueng_NAMELESS_MID","NAMELESS","Ki Sung-yueng","MID","SWA",4600000,73
"Kiko Femenia_NAMELESS_DEF","NAMELESS","Kiko Femenia","DEF","WAT",4300000,65
"King_Joshua_FWD","Joshua","King","FWD","BOU",7e+06,110
"Knockaert_Anthony_MID","Anthony","Knockaert","MID","BHA",5500000,88
"Kolasinac_Sead_DEF","Sead","Kolasinac","DEF","ARS",5800000,108
"Koscielny_Laurent_DEF","Laurent","Koscielny","DEF","ARS",6e+06,100
"Kouyate_Cheikhou_MID","Cheikhou","Kouyate","MID","WHU",5e+06,86
"Lacazette_Alexandre_FWD","Alexandre","Lacazette","FWD","ARS",10300000,138
"Lanzini_Manuel_MID","Manuel","Lanzini","MID","WHU",6600000,106
"Lascelles_Jamaal_DEF","Jamaal","Lascelles","DEF","NEW",4900000,116
"Lejeune_Florian_DEF","Florian","Lejeune","DEF","NEW",4300000,66
"Lemina_Mario_MID","Mario","Lemina","MID","SOU",4800000,58
"Lennon_Aaron_MID","Aaron","Lennon","MID","BUR",5400000,65
"Lewis Cook_NAMELESS_MID","NAMELESS","Lewis Cook","MID","BOU",4300000,58
"Lingard_Jesse_MID","Jesse","Lingard","MID","MUN",6e+06,128
"Livermore_Jake_MID","Jake","Livermore","MID","WBA",4800000,89
"Loftus-Cheek_Ruben_MID","Ruben","Loftus-Cheek","MID","CRY",4400000,77
"Lovren_Dejan_DEF","Dejan","Lovren","DEF","LIV",5300000,110
"Lowton_Matthew_DEF","Matthew","Lowton","DEF","BUR",4400000,89
"Lukaku_Romelu_FWD","Romelu","Lukaku","FWD","MUN",11500000,162
"Maguire_Harry_DEF","Harry","Maguire","DEF","LEI",5500000,117
"Mahrez_Riyad_MID","Riyad","Mahrez","MID","LEI",8700000,195
"Mane_Sadio_MID","Sadio","Mane","MID","LIV",9400000,147
"Manquillo_Javier_DEF","Javier","Manquillo","DEF","NEW",4200000,49
"March_Solomon_MID","Solomon","March","MID","BHA",4800000,74
"Mariappa_Adrian_DEF","Adrian","Mariappa","DEF","WAT",4100000,58
"Martina_Cuco_DEF","Cuco","Martina","DEF","EVE",4100000,55
"Masuaku_Arthur_DEF","Arthur","Masuaku","DEF","WHU",4200000,68
"Mata_Juan_MID","Juan","Mata","MID","MUN",6800000,100
"Matic_Nemanja_MID","Nemanja","Matic","MID","MUN",4700000,91
"Matip_Joel_DEF","Joel","Matip","DEF","LIV",5400000,81
"Mawson_Alfie_DEF","Alfie","Mawson","DEF","SWA",5100000,112
"McArthur_James_MID","James","McArthur","MID","CRY",4400000,101
"Mee_Ben_DEF","Ben","Mee","DEF","BUR",4900000,90
"Milivojevic_Luka_MID","Luka","Milivojevic","MID","CRY",5200000,144
"Milner_James_DEF","James","Milner","DEF","LIV",6e+06,77
"Mkhitaryan_Henrikh_MID","Henrikh","Mkhitaryan","MID","ARS",7700000,107
"Monreal_Nacho_DEF","Nacho","Monreal","DEF","ARS",5700000,130
"Mooy_Aaron_MID","Aaron","Mooy","MID","HUD",5200000,113
"Morata_Alvaro_FWD","Alvaro","Morata","FWD","CHE",10400000,122
"Morgan_Wes_DEF","Wes","Morgan","DEF","LEI",4400000,61
"Moses_Victor_DEF","Victor","Moses","DEF","CHE",6500000,131
"Mounie_Steve_FWD","Steve","Mounie","FWD","HUD",5500000,92
"Murray_Glenn_FWD","Glenn","Murray","FWD","BHA",5900000,111
"Mustafi_Shkodran_DEF","Shkodran","Mustafi","DEF","ARS",5400000,109
"Naughton_Kyle_DEF","Kyle","Naughton","DEF","SWA",4600000,101
"Ndidi_Wilfred_MID","Wilfred","Ndidi","MID","LEI",4900000,78
"Noble_Mark_MID","Mark","Noble","MID","WHU",5300000,84
